,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,type_wine,Variety
82,Austria,Burgenland,Judith Beck,3.9,102,11,2017,red,Zweigelt
83,France,Saint-Émilion Grand Cru,Château Vieux Clos St. Emilion,4.1,102,23,2015,red,blend
84,Spain,Lanzarote,Bermejo,3.6,102,18,2017,red,blend
85,Other Countries,Other Region,Other Winery,3.5,102,8,2015,red,Merlot
86,South Africa,Walker Bay,Creation,3.9,102,12,2014,red,Cabernet Sauvignon
87,Australia,Barossa Valley,Penfolds,4.4,102,229,2017,red,Shiraz
88,France,Fronton,Château Bellevue La Forét,3.5,102,7,2018,red,blend
89,Spain,Montsant,Capçanes,3.7,102,14,2013,red,blend
90,Italy,Terre Siciliane,Cusumano,3.4,102,8,2018,red,Merlot
91,Austria,Burgenland,Paul Achs,3.7,102,33,2015,red,Pinot Noir
92,France,Vin de France,Matassa,4.1,102,17,2019,red,blend
93,Germany,Pfalz,Weingut Metzger,3.6,102,13,2017,red,blend
94,France,Haut-Médoc,Château Beaumont,3.8,1020,17,2015,red,blend
95,France,Bourgogne,Bouchard Père & Fils,3.6,1020,18,2015,red,Pinot Noir
96,South Africa,Hemel-en-Aarde Valley,Hamilton Russell Vineyards,4.2,1022,49,2017,red,Pinot Noir
97,United States,California,Geyser Peak,3.7,1023,11,2016,red,Zinfandel
98,Italy,Valpolicella Ripasso Classico,Bolla,3.7,1024,16,2017,red,blend
99,Italy,Rosso di Montalcino,Castiglion del Bosco,3.9,1025,26,2015,red,blend
100,Portugal,Alentejano,José Maria da Fonseca,3.7,1026,9,2016,red,blend
101,Italy,Cannonau di Sardegna,Sella & Mosca,3.8,1027,11,2017,red,blend
102,Italy,Primitivo di Manduria,San Marzano,4.4,1028,17,2016,red,Primitivo
103,United States,Napa Valley,Round Pond Estate,4.2,1028,38,2017,red,Cabernet Sauvignon
104,United States,California,Rombauer Vineyards,4.3,1029,34,2017,red,Zinfandel
105,Spain,Rioja,Bodegas Olarra,4.1,103,15,2011,red,blend
106,Australia,McLaren Vale,Geoff Merrill,4.0,103,15,2013,red,Shiraz
107,Spain,Priorat,Acustic Celler,4.1,103,26,2016,red,blend
108,Spain,La Mancha,Añoranza,3.4,103,4,2016,red,Shiraz
109,France,Saint-Émilion Grand Cru,Château La Confession,3.9,103,27,2014,red,blend
110,France,Haut-Médoc,Château Sénéjac,3.7,103,17,2011,red,blend
111,Italy,Trentino,Endrizzi,4.4,103,40,2014,red,Teroldego
112,Italy,Barolo,Parusso,4.1,103,40,2015,red,blend
113,Spain,Rioja,Berceo,3.6,103,10,2016,red,blend
