,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,type_wine,Variety
2667,Portugal,Douro,Burmester,3.3,230,8,2016,red,blend
2668,Italy,Toscana,Tua Rita,3.8,230,25,2015,red,Bosco
2669,Italy,Toscana,Frescobaldi,4.2,230,17,2017,red,blend
2670,Chile,Colchagua Valley,Montes Alpha,3.9,2300,13,2017,red,Cabernet Sauvignon
2671,Italy,Vino Nobile di Montepulciano,La Braccesca,3.8,2302,24,2014,red,Montepulciano
2672,Spain,Yecla,Castaño,3.7,2306,15,2015,red,blend
2673,Italy,Chianti Classico,Antinori,4.3,2308,35,2016,red,blend
2674,Italy,Chianti Classico,Castelli del Grevepesa,3.9,231,24,2013,red,blend
2675,France,Bordeaux,Barons de Rothschild (Lafite),3.4,231,12,2014,red,blend
2676,Spain,Ribera del Duero,Tinto Pesquera,4.4,231,30,2016,red,blend
2677,France,Saint-Émilion Grand Cru,Château Grand Mayne,4.1,231,50,2008,red,blend
2678,Other Countries,Other Region,Other Winery,4.0,231,19,2016,red,blend
2679,Australia,Barossa Valley,Torbreck,4.1,231,48,2017,red,blend
2680,Italy,Salento,Cantine due Palme,3.8,231,7,2018,red,Primitivo
2681,Italy,Chianti,Bibi Graetz,3.6,231,12,2016,red,blend
2682,France,Margaux,Château Monbrison,3.8,231,34,2011,red,blend
2683,Italy,Puglia,Polvanera,4.0,231,9,2018,red,Primitivo
2684,Italy,Valpolicella Ripasso,Ottella,4.2,231,20,2015,red,blend
2685,Chile,Maipo Valley,Miguel Torres,3.8,231,16,2015,red,Cabernet Sauvignon
2686,Italy,Verona,Allegrini,4.0,2315,14,2016,red,blend
2687,Australia,Barossa Valley,Penfolds,4.1,2315,42,2016,red,Shiraz
2688,Italy,Vino Nobile di Montepulciano,Poggio Alla Sala,3.8,232,17,2013,red,Montepulciano
2689,Italy,Chianti Rùfina,Castello Nipozzano,3.8,232,19,2016,red,blend
2690,France,Pauillac,Château Clerc Milon,4.0,232,97,2016,red,blend
2691,France,Costières-de-Nîmes,Michel Gassier,3.7,232,30,2015,red,blend
2692,France,Santenay,Joseph Drouhin,4.0,232,23,2016,red,blend
2693,Spain,Terra Alta,Ramón Roqueta,3.8,232,11,2017,red,blend
2694,Spain,Dominio de Valdepusa,Marqués de Griñon,4.1,232,19,2005,red,blend
2695,France,Gigondas,Château de Saint Cosme,3.9,232,33,2017,red,blend
2696,Chile,Casablanca Valley,Ritual,3.8,2323,16,2015,red,Pinot Noir
2697,Italy,Barolo,Brovia,4.2,233,39,2011,red,blend
2698,France,Pauillac,Château Pontet-Canet,4.5,233,166,2016,red,blend
2699,Chile,Maipo Valley,Escudo Rojo,3.6,233,10,2015,red,Cabernet Sauvignon
2700,Italy,Toscana,Fattoria le Pupille,4.0,233,23,2016,red,blend
2701,Austria,Burgenland,Heinrich,4.4,233,77,2012,red,blend
2702,Argentina,Salta,Colomé,4.3,233,102,2014,red,Malbec
2703,France,Saint-Émilion Grand Cru,Château Cheval Blanc,4.6,233,1190,2010,red,blend
2704,Other Countries,Other Region,Other Winery,3.8,233,38,2005,red,Merlot
2705,Spain,Rioja,Muga,4.3,2330,53,2010,red,blend
2706,Italy,Brunello di Montalcino,Caparzo,4.1,2332,26,2013,red,Brunello
2707,Other Countries,Other Region,Other Winery,4.2,2333,36,2001,red,blend
2708,Italy,Salento,Paololeo,3.9,234,8,2018,red,Negroamaro
2709,Spain,Rioja,Bodegas Faustino,3.7,234,10,2016,red,blend
2710,France,Saint-Émilion Grand Cru,Clos de l'Oratoire,4.1,234,50,2015,red,blend
2711,Italy,Salento,Tormaresca,3.7,234,16,2012,red,Negroamaro
2712,South Africa,Franschhoek,Leopard’s Leap,3.3,234,7,2018,red,Cabernet Sauvignon
2713,Chile,Colchagua Valley,Caliterra,3.9,234,12,2016,red,Cabernet Sauvignon
2714,South Africa,Stellenbosch,Meerlust,4.1,234,20,2016,red,Merlot
2715,France,Cahors,Château de Chambert,3.7,234,16,2014,red,blend
2716,Spain,Castilla,Finca Constancia,3.8,234,19,2014,red,blend
2717,Spain,Manchuela,Bodega Iniesta,3.4,234,6,2018,red,blend
2718,Argentina,Mendoza,Alpasión,4.1,234,24,2014,red,Malbec
2719,Italy,Barbera d'Asti,Braida,4.4,234,65,2015,red,Barbera
2720,Italy,Maremma Toscana,Le Mortelle,4.3,234,65,2016,red,blend
2721,Argentina,Uco Valley,Bodega Piedra Negra,3.9,234,33,2014,red,Malbec
2722,Spain,Rioja,R. López de Heredia Viña Tondonia,4.1,2342,29,2007,red,blend
2723,South Africa,Stellenbosch,Mulderbosch,4.1,235,17,2016,red,blend
2724,Italy,Brunello di Montalcino,Siro Pacenti,3.9,235,38,2011,red,Brunello
2725,Spain,Binissalem-Mallorca,Bodegas José L. Ferrer,3.7,235,7,2016,red,blend
2726,Australia,Riverina,Richland,3.6,235,13,2018,red,Shiraz
2727,United States,Sta. Rita Hills,Domaine de la Côte,4.3,235,59,2015,red,Pinot Noir
2728,Italy,Toscana,Rocca delle Macìe,3.6,235,8,2016,red,blend
2729,France,Cornas,M. Chapoutier,4.0,235,45,2016,red,blend
2730,Australia,South Australia,Rosemount,3.2,235,9,2018,red,Shiraz
2731,Italy,Südtirol - Alto Adige,Ferruccio Carlotto,4.0,235,22,2013,red,blend
2732,Italy,Salento,Vallone,3.7,235,9,2016,red,Susumaniello
2733,Other Countries,Other Region,Other Winery,2.9,235,35,2016,red,Cabernet Sauvignon
2734,Italy,Valpolicella Ripasso,Corte Giara,4.0,2350,11,2017,red,blend
2735,Italy,Toscana,Frescobaldi,3.5,236,11,2017,red,Sangiovese
2736,France,Pessac-Léognan,Château Ferran,3.9,236,20,2016,red,blend
2737,France,Saint-Émilion Grand Cru,Château Chauvin,3.8,236,45,2010,red,blend
2738,France,Lalande-de-Pomerol,Château Les Vieux Ormes,3.8,236,23,2015,red,blend
2739,Portugal,Alentejo,Herdade da Calada,3.7,236,12,2015,red,blend
2740,Italy,Terre Siciliane,Itinera,3.4,236,5,2016,red,Nero d'Avola
2741,France,Médoc,Château Mauvesin Barton,3.8,236,23,2014,red,blend
2742,France,Saint-Émilion Grand Cru,Château Rozier,3.9,236,16,2016,red,blend
2743,United States,California,Francis Ford Coppola,4.2,236,64,2013,red,blend
2744,Australia,Barossa Valley,Glaetzer,4.4,236,48,2015,red,blend
2745,Spain,Priorat,L'Encastell,4.2,236,42,2013,red,blend
2746,South Africa,Stellenbosch,Aaldering,4.1,237,23,2017,red,Pinotage
2747,France,Pomerol,Château Clinet,3.8,237,32,2013,red,blend
2748,Italy,Rosso Piceno,DeAngelis (De Angelis),3.7,237,8,2016,red,blend
2749,France,Bordeaux,Barons de Rothschild (Lafite),3.8,237,10,2017,red,blend
2750,Spain,Costers del Segre,Torres,4.1,237,36,2016,red,blend
2751,Italy,Valpolicella Ripasso,Bertani,3.8,237,13,2018,red,blend
2752,Portugal,Alentejano,Herdade do Rocim,4.0,237,15,2014,red,Alicante Bouschet
2753,South Africa,Stellenbosch,Simonsig,3.8,237,12,2016,red,Cabernet Sauvignon
2754,Portugal,Dão,Cabriz,3.6,237,7,2017,red,blend
2755,United States,California,Gnarly Head,3.6,237,12,2016,red,Merlot
2756,Australia,Eden Valley,Henschke,4.3,237,169,2013,red,Shiraz
2757,Germany,Baden,Salwey,3.6,237,9,2016,red,blend
2758,Spain,Penedès,Torres,3.9,237,99,2011,red,blend
2759,France,Saint-Émilion Grand Cru,Château La Tour Figeac,4.3,237,97,2005,red,blend
2760,United States,California,Dark Horse,3.6,2376,8,2017,red,Cabernet Sauvignon
2761,Spain,Rioja,Luis Cañas,3.4,238,5,2018,red,blend
2762,Italy,Barolo,Ettore Germano,4.1,238,51,2010,red,blend
2763,Spain,Valdepeñas,Pata Negra,3.5,238,7,2013,red,blend
2764,Spain,Navarra,Bodegas Piedemonte,3.5,238,10,2013,red,blend
2765,Italy,Veneto,Quintarelli Giuseppe,4.6,238,349,2007,red,blend
2766,Other Countries,Other Region,Other Winery,3.8,238,14,2016,red,Cabernet Franc
2767,Australia,Murray Darling,Deakin Estate,3.4,238,9,2017,red,Shiraz
2768,South Africa,Constantia,Constantia Glen,4.0,238,16,2016,red,blend
2769,Portugal,Douro,Vale D. Maria,3.7,238,9,2017,red,blend
2770,Spain,Rioja,Marqués de Riscal,4.4,238,73,2013,red,blend
2771,Spain,Rioja,Castillo de Cuzcurrita,4.1,238,22,2015,red,blend
2772,South Africa,Coastal Region,Lievland Vineyards,3.6,2380,13,2017,red,Cabernet Sauvignon
2773,United States,Napa Valley,The Hess Collection,4.2,2381,26,2017,red,Cabernet Sauvignon
2774,Argentina,Mendoza,Big Game,3.8,239,10,2018,red,Malbec
2775,Chile,Maipo Valley,Viña Maipo,4.0,239,25,2011,red,Syrah
2776,Italy,Rosso Veronese,Masi,3.6,239,11,2016,red,blend
2777,Argentina,Maipu,Trapiche,3.6,239,10,2017,red,Cabernet Sauvignon
2778,Italy,Montepulciano d'Abruzzo,Rosarubra,4.1,239,18,2016,red,Montepulciano
2779,Italy,Rosso di Montalcino,Banfi,3.7,239,15,2015,red,blend
2780,France,Cahors,Château du Cèdre,4.0,239,36,2014,red,blend
2781,Australia,Central Victoria,MWC,3.8,239,10,2016,red,Shiraz
2782,Spain,Empordà,Castillo Perelada,4.0,2390,13,2015,red,blend
2783,Italy,Bolgheri Sassicaia,Tenuta San Guido,4.6,2397,564,2005,red,blend
2784,Italy,Morellino di Scansano,Val delle Rose,3.9,240,25,2013,red,blend
2785,France,Bordeaux,Sirius,3.3,240,9,2016,red,blend
2786,France,Margaux,Château du Tertre,3.8,240,27,2014,red,blend
2787,Portugal,Douro,Prats & Symington (P+S),4.2,240,20,2018,red,blend
2788,Australia,South Eastern Australia,Banrock Station,3.5,240,6,2018,red,Shiraz
2789,France,Châteauneuf-du-Pape,Domaine de la Janasse,4.4,240,189,2010,red,blend
2790,Italy,Langhe,Elio Grasso,3.5,240,25,2014,red,Nebbiolo
2791,Other Countries,Other Region,Other Winery,4.3,2403,34,2012,red,blend
2792,United States,Columbia Valley,Charles Smith,3.6,2403,13,2016,red,Merlot
2793,France,Bordeaux,Château Malbec,3.8,241,11,2017,red,blend
2794,Italy,Barolo,Bersano,3.8,241,35,2015,red,blend
2795,Spain,Ribera del Duero,Emilio Moro,4.2,241,25,2018,red,blend
2796,Spain,Navarra,Bodegas Nekeas,3.9,241,11,2017,red,Vega
2797,Italy,Salice Salentino,Epicuro,3.8,241,6,2016,red,blend
2798,Italy,Barolo,Luigi Einaudi,4.2,241,63,2013,red,blend
2799,Spain,Navarra,Domaines Lupier,3.9,241,18,2014,red,blend
2800,France,Vacqueyras,Famille Perrin,3.8,241,17,2015,red,blend
2801,France,Vin de France,HornHead,3.8,241,8,2018,red,Malbec
2802,Italy,Chianti Classico,Ricasoli,3.7,2410,36,2015,red,blend
2803,France,Pauillac,Château Lynch-Moussas,4.2,242,45,2016,red,blend
2804,Austria,Niederösterreich,Weingut R&A Pfaffl,3.8,242,9,2017,red,Zweigelt
2805,Italy,Montepulciano d'Abruzzo,Moncaro,3.2,242,6,2017,red,Montepulciano
2806,France,Vacqueyras,Famille Perrin,3.9,242,16,2017,red,blend
2807,Italy,Chianti Classico,Vicchiomaggio,4.1,242,19,2016,red,blend
2808,Italy,Barbera d'Asti,Michele Chiarlo,3.9,242,15,2017,red,blend
2809,France,Haut-Médoc,Château du Moulin Rouge,3.7,242,17,2015,red,blend
2810,Italy,Barolo,Domenico Clerico,4.4,242,107,2007,red,blend
2811,United States,Horse Heaven Hills,Chateau Ste. Michelle,3.9,242,29,2015,red,Cabernet Sauvignon
2812,France,Saint-Julien,Château Ducru-Beaucaillou,4.2,242,102,2013,red,blend
2813,Chile,Aconcagua Valley,Arboleda,3.8,242,18,2017,red,Syrah
2814,United States,Santa Lucia Highlands,Gallo Signature Series,3.8,242,40,2014,red,Pinot Noir
2815,France,Vin de France,Francois Villard,3.8,242,12,2017,red,Syrah
2816,Italy,Umbria,Antinori,4.2,242,56,2016,red,blend
2817,Italy,Chianti Classico,Melini,3.9,242,14,2014,red,blend
2818,Italy,Salento,Rocca,3.5,243,7,2016,red,blend
2819,Australia,Riverina,Three Bridges,4.0,243,25,2017,red,Durif
2820,Italy,Chianti,Monte Guelfo,3.2,243,7,2016,red,blend
2821,South Africa,Western Cape,Spier,3.5,243,6,2018,red,Shiraz
2822,Italy,Langhe,Lo Zoccolaio,4.0,243,12,2016,red,blend
2823,Spain,Rioja,Ramón Bilbao,4.3,243,37,2014,red,blend
2824,Spain,La Mancha,Allegranza,3.3,243,6,2018,red,Tempranillo
2825,Spain,Valdepeñas,Viña Albali,3.5,243,6,2017,red,blend
2826,Spain,Ribera del Duero,Monteabellon,3.9,243,32,2015,red,blend
2827,Argentina,Mendoza,Dieter Meier,3.8,243,17,2017,red,blend
2828,New Zealand,Marlborough,Wild Rock,3.7,243,22,2016,red,Pinot Noir
2829,Italy,Cirò,Librandi,3.4,243,5,2016,red,blend
2830,Italy,Toscana,Riecine,4.3,243,45,2013,red,blend
2831,France,Châteauneuf-du-Pape,Xavier Vignon,4.0,243,40,2016,red,blend
2832,Italy,Brunello di Montalcino,Gianni Brunelli,4.3,243,67,2013,red,Brunello
2833,Italy,Toscana,Tenuta Podernovo,3.4,243,10,2016,red,blend
2834,Chile,Peumo,Marques de Casa Concha,4.1,2433,16,2017,red,blend
2835,Chile,Colchagua Valley,Primus,3.8,2434,15,2014,red,blend
2836,Spain,Valdepeñas,Pata Negra,3.6,2439,6,2010,red,blend
2837,Italy,Rosso di Montalcino,Siro Pacenti,4.0,244,28,2016,red,blend
2838,France,Saint-Émilion Grand Cru,Château Canon-La-Gaffelière,4.2,244,70,2013,red,blend
2839,Chile,Maipo Valley,Viña Maipo,4.3,244,79,2009,red,Syrah
2840,Portugal,Bairrada,Vadio,3.8,244,14,2015,red,blend
2841,Italy,Toscana,Collazzi,4.2,244,38,2016,red,blend
2842,Italy,Barbaresco,Ceretto,3.9,244,44,2014,red,blend
2843,South Africa,Paarl,Backsberg,3.6,244,10,2017,red,Merlot
2844,Spain,Ribera del Duero,Protos,4.1,2443,26,2012,red,blend
2845,Argentina,Mendoza,Bodega Piedra Negra,4.0,245,9,2019,red,Malbec
2846,Australia,Barossa,Peter Lehmann,4.1,245,34,2014,red,Shiraz
2847,United States,Napa Valley,Dominus,4.5,245,356,2016,red,blend
2848,South Africa,Western Cape,Flagstone,4.4,245,22,2017,red,Pinotage
2849,Italy,Vigneti delle Dolomiti,Foradori,3.9,245,14,2019,red,blend
2850,Spain,Navarra,Pago de Cirsus,3.7,245,13,2014,red,blend
2851,Australia,McLaren Vale,d'Arenberg,3.7,245,15,2016,red,Shiraz
2852,France,Pomerol,Château Petit-Village,4.2,245,95,2005,red,blend
2853,France,Côtes-du-Rhône,Famille Perrin,3.7,2455,9,2017,red,blend
2854,Australia,Barossa Valley,Torbreck,4.0,246,18,2017,red,Shiraz
2855,Australia,Margaret River,Vasse Felix,4.2,246,115,2014,red,Cabernet Sauvignon
2856,France,Saint-Émilion Grand Cru,Château Chauvin,4.0,246,50,2005,red,blend
2857,Spain,Penedès,Torres,4.3,246,46,2002,red,Cabernet Sauvignon
2858,South Africa,Stellenbosch,Neethlingshof Estate,4.0,246,10,2018,red,Pinotage
2859,Chile,Aconcagua Valley,Errazuriz,4.4,246,122,2011,red,blend
2860,Italy,Amarone della Valpolicella,Costa Arente,4.5,246,63,2013,red,blend
2861,United States,California,Bonterra,3.6,246,17,2017,red,blend
2862,France,Châteauneuf-du-Pape,Château de Nalys,4.1,246,34,2016,red,blend
2863,France,Haut-Médoc,Château Saint-Ahon,3.9,246,16,2011,red,blend
2864,Spain,Rioja,Montecillo,4.0,246,63,2001,red,blend
2865,Argentina,Mendoza,Caro (Catena and Rothschild),3.6,2461,11,2016,red,Malbec
2866,Spain,Rioja,Palacios Remondo,3.7,2468,14,2013,red,blend
2867,Spain,Rioja,Hacienda el Ternero,3.9,247,23,2011,red,blend
2868,Italy,Veneto,Conte di Campiano,4.1,247,8,2015,red,Malvasia
2869,Germany,Ahr,Meyer - Näkel,3.7,247,14,2017,red,blend
2870,Italy,Südtirol - Alto Adige,Terlan (Terlano),4.1,247,18,2017,red,Lagrein
2871,Argentina,Lujan de Cuyo,Belasco de Baquedano,4.2,247,32,2013,red,Malbec
2872,Portugal,Douro,Casa d'Arrochella,3.6,247,8,2016,red,blend
2873,Italy,Chianti Classico,Castello di Uzzano,3.7,247,17,2014,red,blend
2874,France,Hermitage,M. Chapoutier,4.1,247,83,2014,red,blend
2875,Portugal,Península de Setúbal,José Maria da Fonseca,3.6,2479,12,2017,red,blend
2876,Spain,Bierzo,Dominio Dostares,3.5,248,13,2015,red,Prieto Picudo
2877,France,Bourgogne,Bouchard Père & Fils,3.6,248,16,2018,red,Pinot Noir
2878,France,Pomerol,Château La Cabanne,3.9,248,48,2015,red,blend
2879,Spain,Costers del Segre,Castell d'Encus,4.0,248,38,2015,red,blend
2880,Italy,Sangiovese di Romagna,Poderi dal Nespoli,3.6,248,9,2018,red,Sangiovese
2881,France,Haut-Médoc,Château Victoria,3.8,248,15,2012,red,blend
2882,Italy,Barolo,Domenico Clerico,4.5,248,112,2006,red,blend
2883,Italy,Dolcetto d'Alba,Elio Grasso,3.7,248,18,2016,red,Dolcetto
2884,Argentina,Tupungato,Domaine Bousquet,4.0,248,10,2018,red,Pinot Noir
2885,Italy,Salento,Conte di Campiano,4.0,248,8,2016,red,Susumaniello
2886,France,Saint-Émilion Grand Cru,Clos de l'Oratoire,4.1,249,79,2000,red,blend
2887,Italy,Barolo,Aurelio Settimo,4.0,249,46,2010,red,blend
2888,France,Haut-Médoc,Château Peyre-Lebade,4.0,249,22,2014,red,blend
2889,Spain,Costers del Segre,Castell d'Encus,4.1,249,39,2016,red,blend
2890,Spain,Priorat,Mas d'en Gil,4.2,249,29,2014,red,blend
2891,Spain,Rioja,Viña Real,3.9,249,24,2012,red,blend
2892,South Africa,Stellenbosch,Delheim,3.8,249,14,2017,red,Pinotage
2893,Spain,Costers del Segre,Castell d'Encus,4.2,249,38,2014,red,blend
2894,France,Châteauneuf-du-Pape,Domaine de la Janasse,4.2,249,55,2015,red,blend
2895,Italy,Barbera d'Asti,Vite Colte,3.8,25,9,2019,red,Barbera
2896,France,Chinon,Paul Buisse,3.2,25,9,2017,red,blend
2897,Other Countries,Other Region,Other Winery,3.1,25,8,2012,red,blend
2898,Germany,Baden,Salwey,3.9,25,36,2013,red,Pinot Noir
2899,Italy,Amarone della Valpolicella,Marco Mosconi,4.2,25,56,2011,red,blend
2900,Austria,Burgenland,Schwarz,3.7,25,14,2017,red,blend
2901,Italy,Puglia,Coppadoro,3.9,25,10,2014,red,Aglianico
2902,Italy,Südtirol - Alto Adige,Kettmeir,3.7,25,13,2018,red,Lagrein
2903,Portugal,Douro,Feuerheerd's,4.0,25,10,2017,red,blend
2904,United States,Mendocino County,Hess Select,3.9,25,14,2017,red,Zinfandel
2905,Austria,Thermenregion,Johanneshof Reinisch,3.9,25,14,2017,red,St. Laurent
2906,Italy,Montepulciano d'Abruzzo,Feudi Bizantini,3.6,25,10,2014,red,Montepulciano
2907,Spain,Cádiz,Finca Moncloa,4.3,25,38,2015,red,blend
2908,Italy,Bolgheri Superiore,Tenuta le Colonne,4.1,25,38,2016,red,blend
2909,Italy,Trentino,Conti d'Arco,3.9,25,9,2018,red,Cabernet Sauvignon
2910,Argentina,Mendoza,Bodega Piedra Negra,3.8,25,12,2017,red,Cabernet Sauvignon
2911,Italy,Puglia,Masseria Altemura,3.4,25,11,2017,red,blend
2912,United States,Russian River Valley,Merry Edwards,4.1,25,112,2017,red,Pinot Noir
2913,France,Côtes-du-Rhône,LePlan-Vermeersch,3.7,25,8,2018,red,blend
2914,Germany,Ahr,Weingut Nelles 1479,4.1,25,12,2018,red,blend
2915,Italy,Umbria,Bigi,3.6,25,6,2017,red,blend
2916,Italy,Montefalco,Tenuta Castelbuono,3.8,25,19,2016,red,blend
2917,Italy,Südtirol - Alto Adige,Franz Gojer,3.5,25,12,2018,red,blend
2918,Austria,Neusiedlersee-Hügelland,Esterházy,3.2,25,26,2015,red,Blaufränkisch
2919,France,Pic-Saint-Loup,Mortiès,4.2,25,26,2016,red,blend
2920,Australia,South Australia,Taylors / Wakefield,3.7,25,8,2018,red,Shiraz
2921,Italy,Barolo,Ceretto,4.6,25,184,2015,red,blend
2922,France,Bordeaux Supérieur,Château Le Pin Beausoleil,4.1,25,28,2005,red,blend
2923,Italy,Maremma Toscana,Roccapesta,3.7,25,12,2016,red,blend
2924,Italy,Primitivo di Manduria,Emera,4.7,25,53,2016,red,Primitivo
2925,Spain,Rioja,Bodegas Castillo de Sajazarra,3.7,25,10,2016,red,blend
2926,France,Madiran,Domaine Laougue,3.5,25,13,2014,red,blend
2927,Italy,Toscana,Ruffino,4.0,25,94,2015,red,blend
2928,Portugal,Douro,Niepoort,3.7,25,25,2018,red,blend
2929,Italy,Barolo,Ceretto,4.2,25,49,2016,red,blend
2930,South Africa,Stellenbosch,Drostdy-Hof,3.3,25,6,2015,red,Merlot
2931,Spain,Rioja,Hacienda Grimon,3.6,25,12,2017,red,blend
2932,Italy,Toscana,Avignonesi,4.1,25,43,2016,red,blend
2933,Italy,Primitivo di Manduria,Masseria La Volpe,4.0,25,12,2016,red,Primitivo
2934,France,Languedoc,Regismont,3.3,25,6,2018,red,Merlot
2935,Italy,Marche,Conti di Buscareto,3.8,25,13,2016,red,blend
2936,Italy,Chianti Classico,Antinori,3.8,25,40,2017,red,blend
2937,Germany,Burkheim,Weingut Bercher,3.4,25,12,2015,red,blend
2938,Spain,La Mancha,Isidro Milagro,3.1,25,4,2018,red,blend
2939,Spain,Rioja,Larchago,3.6,25,11,2016,red,Tempranillo
2940,France,Pessac-Léognan,Château La Mission Haut-Brion,4.5,25,583,2016,red,blend
2941,Germany,Baden,Ziereisen,3.9,25,45,2014,red,Pinot Noir
2942,France,Cahors,Georges Vigouroux,3.8,25,47,2015,red,blend
2943,France,Terrasses du Larzac,Mas Haut-Buis,3.8,25,22,2013,red,blend
2944,Germany,Franken,Rudolf Fürst,3.9,25,21,2015,red,blend
2945,France,Saint-Émilion Grand Cru,Château Trotte Vieille,4.1,25,102,2017,red,blend
2946,South Africa,Groenekloof,Neil Ellis,3.8,25,11,2017,red,Shiraz
2947,France,Pays d'Oc,Les Jamelles,4.2,25,6,2018,red,Mourvèdre
2948,France,Rasteau,Domaine de Beaurenard,3.9,25,27,2017,red,blend
2949,Italy,Südtirol - Alto Adige,Klaus Lentsch,4.0,25,30,2012,red,blend
2950,Italy,Piemonte,Rocca di Passo,3.5,25,6,2018,red,blend
2951,Italy,Langhe,Ceretto,3.7,25,23,2017,red,blend
2952,France,Volnay,Domaine Poulleau Père & Fils,3.9,25,39,2017,red,blend
2953,Spain,Navarra,Bodegas Nekeas,3.8,25,7,2018,red,blend
2954,Italy,Terre Siciliane,Antichi Vinai,3.5,25,7,2017,red,Nero d'Avola
2955,Italy,Terre Siciliane,Settesoli,3.3,25,6,2018,red,Cabernet Sauvignon
2956,Chile,Aconcagua,Errazuriz,3.4,25,23,2017,red,blend
2957,Italy,Rosso Veronese,Sartori,4.0,25,12,2014,red,blend
2958,Italy,Puglia,Torrevento,4.0,25,6,2018,red,Primitivo
2959,France,Gigondas,Camille Cayran,4.1,25,20,2015,red,blend
2960,Italy,Barbera del Monferrato,Luigi Tacchino,3.7,25,12,2015,red,Barbera
2961,Spain,Rioja,Imperial,4.1,250,27,2016,red,blend
2962,France,Châteauneuf-du-Pape,Domaine de la Janasse,4.1,250,39,2016,red,blend
2963,Spain,Costers del Segre,Raimat,3.7,250,10,2015,red,Cabernet Sauvignon
2964,Italy,Toscana,Poggio San Polo,3.7,250,10,2016,red,blend
2965,South Africa,Overberg,Raka,4.0,250,17,2017,red,Shiraz
2966,Italy,Umbria,Lungarotti,3.9,250,19,2006,red,blend
2967,France,Corbières,Famille Lignères - Château La Baronne,3.7,250,11,2017,red,blend
2968,Italy,Barbera d'Asti,Vite Colte,4.1,250,12,2017,red,Barbera
2969,Italy,Brunello di Montalcino,Casanova di Neri,4.3,250,45,2015,red,Brunello
2970,Argentina,Mendoza,Argento,3.4,251,9,2015,red,Cabernet Sauvignon
2971,Other Countries,Other Region,Other Winery,3.8,251,12,2017,red,blend
2972,France,Haut-Médoc,Château Lamothe-Cissac,3.7,251,16,2015,red,blend
2973,Chile,Maipo Valley,Antiyal,3.8,251,17,2016,red,blend
2974,Spain,La Mancha,El Vínculo,3.7,251,17,2005,red,blend
2975,Spain,Ribera del Duero,Viña Pedrosa,4.0,2518,25,2014,red,blend
2976,Italy,Toscana,Antinori,3.8,2519,14,2016,red,blend
2977,Germany,Mosel,Fio,3.7,252,12,2015,red,blend
2978,Italy,Verona,Ottella,3.8,252,10,2018,red,blend
2979,France,Morgon,Terres Dorées,3.7,252,20,2017,red,blend
2980,Portugal,Douro,Churchill's,3.7,252,8,2018,red,blend
2981,Chile,Aconcagua Valley,Errazuriz,3.7,252,17,2014,red,blend
2982,France,Vin de France,Maison de La Villette,4.0,252,8,2017,red,Cabernet Sauvignon
2983,Portugal,Douro,Esporão,4.3,252,28,2015,red,blend
2984,Argentina,Mendoza,Pascual Toso,3.7,252,15,2014,red,Cabernet Sauvignon
2985,Italy,Toscana,Tenuta San Guido,4.1,2520,39,2017,red,blend
2986,Australia,South Australia,Penfolds,4.2,2524,84,2013,red,Shiraz
2987,Chile,Cachapoal Valley,Santa Ema,4.3,253,42,2013,red,blend
2988,Spain,Rioja,Bodegas Casa Primicia,4.0,253,20,2014,red,blend
2989,Italy,Brunello di Montalcino,Poggio Antico,4.3,253,67,2012,red,Brunello
2990,Italy,Barolo,Fontanafredda,3.9,2532,29,2014,red,blend
2991,Portugal,Alentejano,Herdade de São Miguel,3.9,2534,8,2018,red,blend
2992,France,Bandol,Domaine de Terrebrune,4.1,254,43,2012,red,blend
2993,Italy,Bardolino,Cavalchina,3.7,254,8,2018,red,blend
2994,Chile,Colchagua Valley,Viu Manent,4.0,254,19,2017,red,blend
2995,France,Saint-Émilion,Petit-Figeac,3.9,254,46,2014,red,blend
2996,Argentina,San Juan,Bodega Finca Las Moras,3.3,254,7,2019,red,blend
2997,South Africa,Coastal Region,Kleine Zalze,3.4,254,10,2017,red,Merlot
2998,Italy,Brunello di Montalcino,Col d'Orcia,4.2,254,83,2008,red,Brunello
2999,Italy,Chianti Classico,Rocca di Montegrossi,3.8,254,14,2017,red,blend
3000,France,Bandol,Domaines Bunan,3.9,254,22,2016,red,blend
3001,Italy,Maremma Toscana,Rocca di Frassinello,4.2,254,35,2015,red,blend
3002,Italy,Vigneti delle Dolomiti,Foradori,4.1,254,46,2016,red,blend
3003,Italy,Barolo,Ceretto,4.2,254,96,2013,red,blend
3004,Italy,Lombardia,Cà dei Frati,4.2,2540,19,2016,red,blend
3005,Spain,Rioja,Montecillo,3.9,2541,22,2009,red,blend
3006,Italy,Bolgheri,Antinori,4.1,2542,18,2018,red,blend
3007,Italy,Amarone della Valpolicella,Tenuta Sant'Antonio,4.2,2549,25,2015,red,blend
3008,Italy,Chianti,Tenuta Il Palagio,3.8,255,12,2018,red,blend
3009,Spain,Valencia,De Moya,4.2,255,24,2015,red,blend
3010,Portugal,Alentejano,Herdade dos Grous,4.3,255,45,2015,red,blend
3011,Other Countries,Other Region,Other Winery,3.0,255,11,2012,red,Merlot
3012,France,Pomerol,Château Gombaude-Guillot,4.3,255,78,2009,red,blend
3013,Chile,Colchagua Valley,MontGras,4.0,255,40,2008,red,blend
3014,France,Saint-Julien,Château Léoville Las Cases,4.2,255,179,2011,red,blend
